KazaName,kazcode,Sanjak,sancode,Vilayet,vilcode,Muslims_Female,Muslims_Male,Greeks_Female,Greeks_Male,Armenians_Female,Armenians_Male,Bulgarians_Female,Bulgarians_Male,Catholics_Female,Catholics_Male,Jews_Female,Jews_Male,Protestants_Female,Protestants_Male,Latins_Female,Latins_Male,Monophysites_Female,Monophysites_Male,NonMuslimGypsies_Female,NonMuslimGypsies_Male,ForeignCitizens_Female,ForeignCitizens_Male,Total_Muslim,Total_Christian,Total_NonMuslim,Total_Armenian,Christian_Muslim_Ratio,Armenian_Muslim_Ratio,ArmenianShare,ChristianShare,Total_Female,Total_Male,GrandTotal,Source,SanjakCenter
Trabzon Central Kaza,61-1-8,Trabzon,61-1,Trabzon,61,37091.0,42038.0,13027.0,14561.0,4440.0,5106.0,,,588.0,621.0,,,41.0,51.0,,,,,,,,,79129.0,38435,38435,9546,0.4857258400839136,0.12063845113675138,0.08119832601816883,0.3269283113878398,55187.0,62377.0,117564.0,1881 Census,1
Vakfıkebir Kaza,61-1-9,Trabzon,61-1,Trabzon,61,9080.0,9305.0,,,29.0,27.0,,,,,,,,,,,,,,,,,18385.0,56,56,56,0.003045961381561055,0.003045961381561055,0.003036711675071851,0.003036711675071851,9109.0,9332.0,18441.0,1881 Census,0
Albak Kaza,65-2-1,Hakkâri,65-2,Van,65,9342.0,12429.0,,,,,,,,,,,,,,,,,,,,,21771.0,0,0,0,0.0,0.0,0.0,0.0,,,21771.0,1315 Salname,0
Beytussebap,65-2-2,Hakkâri,65-2,Van,65,11565.0,16963.0,,,3552.0,5585.0,,,,,,,,,,,,,,,,,28528.0,9137,9137,9137,0.32028182837913627,0.32028182837913627,0.242585955130758,0.242585955130758,,,37665.0,1315 Salname,0
Çölemerik,65-2-3,Hakkâri,65-2,Van,65,7000.0,8902.0,,,,,,,,,,,,,,,,,,,,,15902.0,0,0,0,0.0,0.0,0.0,0.0,,,15902.0,1315 Salname,1
Gevar Kaza,65-2-4,Hakkâri,65-2,Van,65,7488.0,9188.0,,,2232.0,3960.0,,,,,,,,,,,,,,,,,16676.0,6192,6192,6192,0.37131206524346366,0.37131206524346366,0.2707713835927934,0.2707713835927934,,,22868.0,1315 Salname,0
Hamidiye (Van) Kaza,65-2-5,Hakkâri,65-2,Van,65,2930.0,4220.0,,,670.0,566.0,,,,,,,,,,,,,,,,,7150.0,1236,1236,1236,0.17286713286713287,0.17286713286713287,0.14738850465060815,0.14738850465060815,,,8386.0,1315 Salname,0
Semdinyan,65-2-6,Hakkâri,65-2,Van,65,6328.0,8219.0,,,996.0,1037.0,,,,,,,,,,,,,,,,,14547.0,2033,2033,2033,0.139753901148003,0.139753901148003,0.12261761158021713,0.12261761158021713,,,16580.0,1315 Salname,0
Adilcevaz Kaza,65-1-1,Van,65-1,Van,65,2963.0,3266.0,,,1661.0,2379.0,,,,,,,,,,,,,,,,,6229.0,4040,4040,4040,0.648579226200032,0.648579226200032,0.39341708053364494,0.39341708053364494,4624.0,5645.0,10269.0,1881 Census,0
Çatak (Şitak) Kaza,65-1-2,Van,65-1,Van,65,2188.0,2664.0,,,1715.0,2078.0,,,,,,,,,,,,,,,,,4852.0,3793,3793,3793,0.7817394888705689,0.7817394888705689,0.4387507229612493,0.4387507229612493,3903.0,4742.0,8645.0,1881 Census,0
Erciş Kaza,65-1-3,Van,65-1,Van,65,3836.0,3899.0,,,1418.0,2293.0,,,,,,,,,,,,,,,,,7735.0,3711,3711,3711,0.47976729153199743,0.47976729153199743,0.3242180674471431,0.3242180674471431,5254.0,6192.0,11446.0,1881 Census,0
Gevaş Kaza,65-1-4,Van,65-1,Van,65,1864.0,2564.0,,,2023.0,2779.0,,,,,,,,,,,,,,,,,4428.0,4802,4802,4802,1.0844625112917796,1.0844625112917796,0.5202600216684724,0.5202600216684724,3887.0,5343.0,9230.0,1881 Census,0
Kariçkan Kaza,65-1-5,Van,65-1,Van,65,2618.0,3575.0,,,1748.0,2618.0,,,,,,,,,,,,,,,,,6193.0,4366,4366,4366,0.7049895042790247,0.7049895042790247,0.41348612558007386,0.41348612558007386,4366.0,6193.0,10559.0,1881 Census,0
Mekri Kaza,65-1-6,Van,65-1,Van,65,1576.0,1972.0,,,2152.0,2082.0,,,,,,,,,,,,,,,,,3548.0,4234,4234,4234,1.193348365276212,1.193348365276212,0.5440760729889489,0.5440760729889489,3728.0,4054.0,7782.0,1881 Census,0
Muradiye (Bargiri) Kaza,65-1-7,Van,65-1,Van,65,1805.0,1696.0,,,619.0,764.0,,,,,,,,,,,,,,,,,3501.0,1383,1383,1383,0.3950299914310197,0.3950299914310197,0.2831695331695332,0.2831695331695332,2424.0,2460.0,4884.0,1881 Census,0
Van Central Kaza,65-1-8,Van,65-1,Van,65,8324.0,9772.0,,,14052.0,19001.0,,,,,,,,,,,,,,,,,18096.0,33053,33053,33053,1.8265362511052166,1.8265362511052166,0.6462100920839117,0.6462100920839117,22376.0,28743.0,51149.0,1881 Census,1
