KazaName,kazcode,Sanjak,sancode,Vilayet,vilcode,Muslims_Female,Muslims_Male,Greeks_Female,Greeks_Male,Armenians_Female,Armenians_Male,Bulgarians_Female,Bulgarians_Male,Catholics_Female,Catholics_Male,Jews_Female,Jews_Male,Protestants_Female,Protestants_Male,Latins_Female,Latins_Male,Monophysites_Female,Monophysites_Male,NonMuslimGypsies_Female,NonMuslimGypsies_Male,ForeignCitizens_Female,ForeignCitizens_Male,Total_Muslim,Total_Christian,Total_NonMuslim,Total_Armenian,Christian_Muslim_Ratio,Armenian_Muslim_Ratio,ArmenianShare,ChristianShare,Total_Female,Total_Male,GrandTotal,Source,SanjakCenter
Keskin,6-4-3,Kirşehir,6-4,Ankara,6,19465.0,20014.0,362.0,410.0,161.0,161.0,,,,,,,14.0,12.0,,,,,,,,,39479.0,1120,1120,322,0.02836951290559538,0.008156234960358671,0.007931229833247124,0.027586886376511736,20002.0,20597.0,40599.0,1881 Census,0
Kirşehir Central Kaza,6-4-4,Kirşehir,6-4,Ankara,6,25692.0,27907.0,15.0,23.0,318.0,390.0,,,,,,,,,,,,,,,,,53599.0,746,746,708,0.013918170115114087,0.013209201664210152,0.01302787744962738,0.013727113809918116,26025.0,28320.0,54345.0,1881 Census,1
Boğazlıyan Kaza,6-3-1,Yozgat,6-3,Ankara,6,16091.0,17359.0,218.0,270.0,4076.0,4770.0,,,,,,,18.0,25.0,,,,,,,,,33450.0,9377,9377,8846,0.2803288490284006,0.26445440956651717,0.206551941532211,0.21895066196558247,20403.0,22424.0,42827.0,1881 Census,0
Çorum Kaza,6-3-2,Yozgat,6-3,Ankara,6,23830.0,24551.0,45.0,101.0,200.0,297.0,,,,,,,16.0,17.0,,,,,,,,,48381.0,676,676,497,0.01397242719249292,0.010272627684421571,0.010131072018264468,0.013779888700898954,24091.0,24966.0,49057.0,1881 Census,0
Maden (Akdağmadeni) Kaza,6-3-3,Yozgat,6-3,Ankara,6,13713.0,13971.0,2677.0,2677.0,767.0,925.0,,,,,,,,,,,,,,,,,27684.0,7046,7046,1692,0.25451524346192744,0.0611183355006502,0.049123214493090234,0.20456392985715946,17157.0,17287.0,34444.0,1881 Census,0
Sungurlu Kaza,6-3-4,Yozgat,6-3,Ankara,6,30156.0,33789.0,333.0,357.0,1367.0,1476.0,,,,,,,66.0,63.0,,,,,,,,,63945.0,3662,3662,2843,0.05726796465712722,0.04446008288372821,0.04205185853535876,0.054165988728977765,31922.0,35685.0,67607.0,1881 Census,0
Yozgat Central Kaza,6-3-5,Yozgat,6-3,Ankara,6,22239.0,22878.0,564.0,592.0,4134.0,4325.0,,,,,,,111.0,96.0,,,,,,,,,45117.0,9822,9822,8459,0.21770064498969346,0.18749030299000377,0.15397076757858716,0.1787801015671927,27048.0,27891.0,54939.0,1881 Census,1
Aydın Central Kaza,9-3-1,Aydın,9-3,Aydin,9,30399.0,31815.0,2585.0,3058.0,124.0,132.0,,,80.0,58.0,941.0,954.0,,,,,,,,,,,62214.0,6037,7932,256,0.09703603690487672,0.004114829459607163,0.003649530978245374,0.08606335357682547,34139.0,36017.0,70146.0,1881 Census,1
Bozdoğan Kaza,9-3-2,Aydın,9-3,Aydin,9,13808.0,13887.0,16.0,50.0,5.0,3.0,,,,,6.0,5.0,,,,,,,,,,,27695.0,74,85,8,0.0026719624480953242,0.0002888608051994945,0.00028797696184305253,0.002663786897048236,13835.0,13945.0,27780.0,1881 Census,0
Çine Kaza,9-3-3,Aydın,9-3,Aydin,9,12809.0,12443.0,159.0,131.0,,,,,,,,,,,,,,,,,,,25252.0,290,290,0,0.011484238872168541,0.0,0.0,0.011353848563150888,12968.0,12574.0,25542.0,1881 Census,0
Nazilli Kaza,9-3-4,Aydın,9-3,Aydin,9,30141.0,29815.0,959.0,1069.0,149.0,152.0,,,,,100.0,95.0,,,,,,,,,,,59956.0,2329,2524,301,0.03884515311228234,0.005020348255387284,0.004817541613316261,0.03727592829705506,31349.0,31131.0,62480.0,1881 Census,0
Söke Kaza,9-3-5,Aydın,9-3,Aydin,9,6919.0,7195.0,4019.0,4156.0,25.0,34.0,,,,,,,,,,,,,,,,,14114.0,8234,8234,59,0.583392376363894,0.004180246563695622,0.002640057275818865,0.3684446035439413,10963.0,11385.0,22348.0,1881 Census,0
Buldan Kaza,9-5-1,Denizli,9-5,Aydin,9,12660.0,12855.0,,4.0,,,,,,,,,,,,,,,,,,,25515.0,4,4,0,0.0001567705271408975,0.0,0.0,0.00015675209655929148,12660.0,12859.0,25518.0,1881 Census,0
Çal Kaza,9-5-2,Denizli,9-5,Aydin,9,21335.0,20823.0,18.0,139.0,,,,1.0,,,,,,,,,,,,,,,42158.0,158,158,0,0.0037478058731438874,0.0,0.0,0.0037338122695906987,21353.0,20963.0,42316.0,1881 Census,0
Denizli Central Kaza,9-5-3,Denizli,9-5,Aydin,9,16902.0,16512.0,856.0,902.0,250.0,251.0,,1.0,,,,,,,,,,,,,8.0,15.0,33414.0,2260,2260,501,0.06763632010534507,0.01499371520919375,0.014034792839734432,0.06331064235089784,18016.0,17681.0,35697.0,1881 Census,1
Garbikaraağac (Acıpayam) Kaza,9-5-4,Denizli,9-5,Aydin,9,18459.0,19058.0,,,,,,,,,,,,,,,,,,,,,37517.0,0,0,0,0.0,0.0,0.0,0.0,18459.0,19058.0,37517.0,1881 Census,0
Saray Kaza,9-5-5,Denizli,9-5,Aydin,9,8680.0,9325.0,271.0,343.0,,,,,,,,,,,,,,,,,,,18005.0,614,614,0,0.0341016384337684,0.0,0.0,0.033155137966412875,8951.0,9568.0,18519.0,1881 Census,0
Tavas Kaza,9-5-6,Denizli,9-5,Aydin,9,26430.0,26466.0,1.0,28.0,,,,,,,,,,,,,,,,,,,52896.0,29,29,0,0.0005482456140350877,0.0,0.0,0.0005377839592025962,26431.0,26494.0,53925.0,1881 Census,0
Bayındır Kaza,9-1-1,Izmir,9-1,Aydin,9,8840.0,9052.0,1439.0,1690.0,87.0,90.0,,1.0,,,18.0,13.0,14.0,11.0,,,,,,,,,17892.0,3332,3363,177,0.18622848200312989,0.009892689470154259,0.008327452364149612,0.1567631145612797,10398.0,10857.0,21255.0,1881 Census,0
Bergama Kaza,9-1-2,Izmir,9-1,Aydin,9,25574.0,28230.0,4676.0,5574.0,399.0,410.0,116.0,142.0,,,252.0,243.0,,,,,,,,,24.0,52.0,53804.0,11317,11812,809,0.21033752137387554,0.015036056798751023,0.012315045972112281,0.1722736406259514,31041.0,34651.0,65692.0,1881 Census,0
Çeşme Kaza,9-1-3,Izmir,9-1,Aydin,9,1770.0,1907.0,12981.0,13845.0,,,,,,,54.0,69.0,,,,,,,,,33.0,43.0,3677.0,26826,26949,0,7.295621430514006,0.0,0.0,0.8737541528239202,14838.0,15864.0,30702.0,1881 Census,0
Foçateyn (Foça) Kaza,9-1-4,Izmir,9-1,Aydin,9,1703.0,2059.0,5023.0,5573.0,13.0,34.0,1.0,45.0,,,53.0,44.0,,,,,,,,,1374.0,1399.0,3762.0,10689,10786,47,2.8413078149920254,0.012493354598617756,0.002713469199237919,0.6171121759713643,8167.0,9154.0,17321.0,1881 Census,0
Izmir Central Kaza,9-1-5,Izmir,9-1,Aydin,9,34566.0,44722.0,24028.0,29058.0,3151.0,3659.0,,20.0,372.0,365.0,7175.0,7734.0,63.0,65.0,464.0,586.0,,,,,26295.0,25225.0,79288.0,61831,76740,6810,0.7798279689234184,0.08588941580062556,0.032811686935070444,0.2979118083527666,96114.0,111434.0,207548.0,1881 Census,1
Kuşadası Kaza,9-1-6,Izmir,9-1,Aydin,9,4296.0,4526.0,3179.0,2942.0,45.0,42.0,,17.0,,,,,,,,,,,,,,,8822.0,6225,6225,87,0.7056223078666969,0.009861709362956246,0.005781883431913338,0.4137037283179371,7520.0,7527.0,15047.0,1881 Census,0
Menemen Kaza,9-1-7,Izmir,9-1,Aydin,9,6869.0,7661.0,2209.0,2213.0,49.0,57.0,,,,,128.0,101.0,,,,,,,,,30.0,50.0,14530.0,4528,4757,106,0.3116311080523056,0.00729525120440468,0.005473227655289926,0.23379976248257345,9285.0,10082.0,19367.0,1881 Census,0
Ödemiş Kaza,9-1-8,Izmir,9-1,Aydin,9,26833.0,26984.0,1773.0,1937.0,512.0,581.0,,,,,,,,,,,,,,,,,53817.0,4803,4803,1093,0.08924689224594459,0.020309567608748164,0.018626448534423995,0.08185071574642126,29118.0,29562.0,58680.0,1881 Census,0
Seferhisar Kaza,9-1-9,Izmir,9-1,Aydin,9,2779.0,2842.0,632.0,660.0,2.0,6.0,,,,,,,,,,,,,,,,,5621.0,1300,1300,8,0.23127557374132718,0.0014232342999466287,0.0011559023262534315,0.18783412801618263,3413.0,3508.0,6921.0,1881 Census,0
Tire Kaza,9-1-10,Izmir,9-1,Aydin,9,15183.0,15118.0,1075.0,1190.0,5.0,7.0,19.0,31.0,,,514.0,515.0,,,,,,,,,,,30301.0,2327,3356,12,0.0767961453417379,0.0003960265337777631,0.0003565380158659417,0.06913866357667053,16796.0,16861.0,33657.0,1881 Census,0
Urla Kaza,9-1-11,Izmir,9-1,Aydin,9,3973.0,4143.0,5919.0,6135.0,7.0,9.0,,,,,143.0,140.0,,,,,,,,,,,8116.0,12070,12353,16,1.4871858058156728,0.001971414489896501,0.0007817080320500293,0.5897009966777409,10427.0,10041.0,20468.0,1881 Census,0
Bodrum Kaza,9-4-1,Menteşe,9-4,Aydin,9,5732.0,5819.0,1112.0,1133.0,,,,,,,45.0,37.0,,,,,,,,,,,11551.0,2245,2327,0,0.19435546705912907,0.0,0.0,0.16169691731489486,6892.0,6992.0,13884.0,1881 Census,0
Köyceğiz Kaza,9-4-2,Menteşe,9-4,Aydin,9,10466.0,10585.0,135.0,113.0,,,2.0,32.0,,,,15.0,,,,,,,,,,,21051.0,282,297,0,0.013396038192959954,0.0,0.0,0.013209668353007308,10603.0,10745.0,21348.0,1881 Census,0
Marmaris Kaza,9-4-3,Menteşe,9-4,Aydin,9,6221.0,6114.0,304.0,330.0,,,,,,,,18.0,,,,,,,,,,,12335.0,634,652,0,0.05139845966761249,0.0,0.0,0.04881804881804882,6525.0,6462.0,12987.0,1881 Census,0
Meğri (Fethiye) Kaza,9-4-4,Menteşe,9-4,Aydin,9,10174.0,10696.0,1938.0,2110.0,,,,,,,10.0,16.0,,,,,,,,,,,20870.0,4048,4074,0,0.1939626257786296,0.0,0.0,0.16228351507376523,12122.0,12822.0,24944.0,1881 Census,0
Milas Kaza,9-4-5,Menteşe,9-4,Aydin,9,13522.0,13466.0,833.0,1012.0,,,,,,,168.0,188.0,,,,,,,,,3.0,3.0,26988.0,1845,2201,0,0.06836371720764785,0.0,0.0,0.06298648095043015,14376.0,14716.0,29292.0,1881 Census,0
Muğla Kaza,9-4-6,Menteşe,9-4,Aydin,9,21135.0,21277.0,545.0,607.0,,,,,,,2.0,1.0,,,,,,,,,53.0,50.0,42412.0,1152,1155,0,0.027162123927190418,0.0,0.0,0.026442031813069526,21682.0,21885.0,43567.0,1881 Census,1
Akhisar Kaza,9-2-1,Saruhan,9-2,Aydin,9,11607.0,12403.0,2389.0,2287.0,168.0,181.0,,,,,85.0,95.0,,,,,,,,,,,24010.0,5025,5205,349,0.20928779675135362,0.01453561016243232,0.011945918192709225,0.17200068457983914,14249.0,14966.0,29215.0,1881 Census,0
Alaşehir Kaza,9-2-2,Saruhan,9-2,Aydin,9,12414.0,13324.0,1265.0,1275.0,7.0,11.0,,,,,12.0,15.0,,,,,,,,,,,25738.0,2558,2585,18,0.09938612168777683,0.0006993550392415883,0.0007555723460521345,0.10737522562229777,13698.0,14625.0,23823.0,1881 Census,0
Demirci Kaza,9-2-3,Saruhan,9-2,Aydin,9,16415.0,17266.0,17.0,72.0,1.0,5.0,,,,,,,,,,,,,,,,3.0,33681.0,95,95,6,0.00282058133665865,0.00017814197915738843,0.00017762515172148376,0.0028123982355901596,16433.0,17346.0,33779.0,1881 Census,0
Eşme Kaza,9-2-4,Saruhan,9-2,Aydin,9,8586.0,9341.0,,,,,,,,,,,,,,,,,,,,,17927.0,0,0,0,0.0,0.0,0.0,0.0,8586.0,9341.0,17927.0,1881 Census,0
Gördes Kaza,9-2-5,Saruhan,9-2,Aydin,9,15426.0,15394.0,310.0,314.0,,,,,,,,,,,,,,,,,,,30820.0,624,624,0,0.020246593121349774,0.0,0.0,0.01984480346011958,15736.0,15708.0,31444.0,1881 Census,0
Kasaba (Turgutlu) Kaza,9-2-6,Saruhan,9-2,Aydin,9,10320.0,11074.0,1343.0,1511.0,230.0,250.0,,,,,340.0,391.0,,,,,,,,,,,21394.0,3334,4065,480,0.15583808544451716,0.02243619706459755,0.01885384343454181,0.13095565418908833,12233.0,13226.0,25459.0,1881 Census,0
Kirkağaç Kaza,9-2-7,Saruhan,9-2,Aydin,9,8396.0,8336.0,1306.0,1296.0,390.0,380.0,,,,,34.0,40.0,,,,,,,,,66.0,83.0,16732.0,3372,3446,770,0.20153000239062874,0.04601960315562993,0.037880651350420624,0.16588773552417965,10192.0,10135.0,20327.0,1881 Census,0
Kula Kaza,9-2-8,Saruhan,9-2,Aydin,9,12612.0,13355.0,1556.0,1588.0,,,,,,,,,,,,,,,,,,,25967.0,3144,3144,0,0.12107675126121616,0.0,0.0,0.1080004122153138,14168.0,14943.0,29111.0,1881 Census,0
Manisa Kaza,9-2-9,Saruhan,9-2,Aydin,9,33557.0,34629.0,7130.0,8268.0,1102.0,1125.0,,,,,652.0,693.0,,,,,,,,,122.0,813.0,68186.0,17625,18970,2227,0.2584841463056933,0.0326606634793066,0.025280675664937396,0.20007719290279372,42563.0,45528.0,88091.0,1881 Census,1
Salihli Kaza,9-2-10,Saruhan,9-2,Aydin,9,11313.0,12396.0,280.0,385.0,,,,,,,,,,,,,,,,,,,23709.0,665,665,0,0.028048420431059935,0.0,0.0,0.027283170591614014,11593.0,12781.0,24374.0,1881 Census,0
Soma Kaza,9-2-11,Saruhan,9-2,Aydin,9,8872.0,8814.0,613.0,606.0,,,,,,,,,,,,,,,,,,,17686.0,1219,1219,0,0.06892457310867353,0.0,0.0,0.06448029621793176,9485.0,9420.0,18905.0,1881 Census,0
Ahlat Kaza,13-1-1,Bitlis,13-1,Bitlis,13,3409.0,3739.0,,,2974.0,3466.0,,,,,,,66.0,68.0,,,,,,,,,7148.0,6574,6574,6440,0.9196978175713486,0.9009513150531617,0.4693193412039061,0.4790846815333042,,,13722.0,1892 Salnamesi,0
Bitlis Kaza,13-1-2,Bitlis,13-1,Bitlis,13,11922.0,15751.0,,,6437.0,8880.0,,,60.0,70.0,,,291.0,356.0,,,,,,,,,27673.0,16094,16094,15317,0.5815777111263687,0.5534998012503162,0.3499668700162223,0.3677199716681518,,,43767.0,1892 Salnamesi,1
Hizan Kaza,13-1-3,Bitlis,13-1,Bitlis,13,3511.0,4753.0,,,2380.0,3340.0,,,,,,,,,,,,,,,,,8264.0,5720,5720,5720,0.6921587608906099,0.6921587608906099,0.40903890160183065,0.40903890160183065,,,13984.0,1892 Salnamesi,0
Mutki Kaza,13-1-4,Bitlis,13-1,Bitlis,13,1449.0,1732.0,,,879.0,1133.0,,,,,,,,,,,,,,,,,3181.0,2012,2012,2012,0.6325055014146495,0.6325055014146495,0.38744463701136145,0.38744463701136145,,,5193.0,1892 Salnamesi,0
Capakcur,13-4-1,Genc,13-4,Bitlis,13,4085.0,5002.0,,,369.0,429.0,,,,,,,,,,,,,,,,,9087.0,798,798,798,0.08781776163750413,0.08781776163750413,0.08072837632776934,0.08072837632776934,,,9885.0,1892 Salnamesi,0
Genc Kaza,13-4-2,Genc,13-4,Bitlis,13,7311.0,11859.0,,,802.0,1103.0,,,,,,,,,,,,,,,,,19170.0,1905,1905,1905,0.09937402190923318,0.09937402190923318,0.0903914590747331,0.0903914590747331,,,21075.0,1892 Salnamesi,1
Kulp Kaza,13-4-3,Genc,13-4,Bitlis,13,3285.0,3828.0,,,1325.0,1555.0,,,,,,,,,,,,,,,,,7113.0,2880,2880,2880,0.4048924504428511,0.4048924504428511,0.2882017412188532,0.2882017412188532,,,9993.0,1892 Salnamesi,0
Bulanik Kaza,13-3-1,Mus,13-3,Bitlis,13,3620.0,4847.0,,,7442.0,9447.0,,,,,,,,,,,,,,,,,8467.0,16889,16889,16889,1.9946852486122593,1.9946852486122593,0.6660750907083136,0.6660750907083136,,,25356.0,1892 Salnamesi,0
Malazgirt Kaza,13-3-2,Mus,13-3,Bitlis,13,4899.0,5167.0,,,2059.0,2524.0,,,,,,,,,,,,,,,,,10066.0,4583,4583,4583,0.45529505265249354,0.45529505265249354,0.3128541197351355,0.3128541197351355,,,14649.0,1892 Salnamesi,0
Mus Kaza,13-3-3,Mus,13-3,Bitlis,13,9795.0,11451.0,,,13742.0,18649.0,,,1089.0,1360.0,,,187.0,301.0,,,,,,,,,21246.0,35328,35328,32391,1.6628071166337193,1.524569330697543,0.5725421571746738,0.6244564641001167,,,56574.0,1892 Salnamesi,1
Sason Kaza,13-3-4,Mus,13-3,Bitlis,13,5543.0,7805.0,,,1570.0,1617.0,,,,,,,,,,,,,,,,,13348.0,3187,3187,3187,0.2387623614024573,0.2387623614024573,0.19274266706985183,0.19274266706985183,,,16535.0,1892 Salnamesi,0
Varto Kaza,13-3-5,Mus,13-3,Bitlis,13,4715.0,5976.0,,,498.0,726.0,,,,,,,,,,,,,,,,,10691.0,1224,1224,1224,0.11448882237395941,0.11448882237395941,0.10272765421737307,0.10272765421737307,,,11915.0,1892 Salnamesi,0
Eruh Kaza,13-2-1,Siirt,13-2,Bitlis,13,6531.0,7958.0,,,701.0,967.0,,,,,,,,,,,75.0,72.0,,,,,14489.0,1815,1815,1668,0.12526744426806544,0.11512181655048657,0.10230618253189401,0.11132237487733071,,,16304.0,1892 Salnamesi,0
Garzan Kaza,13-2-2,Siirt,13-2,Bitlis,13,5844.0,6552.0,,,1712.0,1846.0,,,186.0,166.0,,,75.0,74.0,,,389.0,405.0,,,,,12396.0,4853,4853,3558,0.3914972571797354,0.28702807357212,0.20627282741028466,0.2813496434575917,,,17249.0,1892 Salnamesi,0
Pervari Kaza,13-2-3,Siirt,13-2,Bitlis,13,1770.0,2090.0,,,500.0,585.0,,,,,,,,,,,,,,,,,3860.0,1085,1085,1085,0.2810880829015544,0.2810880829015544,0.21941354903943378,0.21941354903943378,,,4945.0,1892 Salnamesi,0
Siirt Kaza,13-2-4,Siirt,13-2,Bitlis,13,7714.0,7608.0,,,974.0,958.0,,,208.0,270.0,,,123.0,133.0,,,141.0,175.0,,,,,15322.0,2982,2982,1932,0.194622111995823,0.12609319932123744,0.1055506993006993,0.1629152097902098,,,18304.0,1892 Salnamesi,1
Sirvan Kaza,13-2-5,Siirt,13-2,Bitlis,13,5938.0,7482.0,,,332.0,428.0,,,,,,,,,,,625.0,813.0,,,,,13420.0,2198,2198,760,0.16378539493293592,0.05663189269746647,0.04866180048661801,0.14073504930208733,,,15618.0,1892 Salnamesi,0
Afyon Central Kaza ,16-4-1,Afyonkarahisari (Karahisar-i Sahip),16-4,Bursa (Hüdavendigar),16,38405.0,38274.0,,,2615.0,2699.0,,,,,,,,,,,,,,,,,76679.0,5314,5314,5314,0.06930189491255755,0.06930189491255755,0.06481041064481115,0.06481041064481115,41020.0,40973.0,81993.0,1881 Census,1
Bolvadin Kaza,16-4-2,Afyonkarahisari (Karahisar-i Sahip),16-4,Bursa (Hüdavendigar),16,15779.0,16212.0,,,,,,,,,,,,,,,,,,,,,31991.0,0,0,0,0.0,0.0,0.0,0.0,15779.0,16212.0,31991.0,1881 Census,0
Emirdağ (Aziziye) Kaza,16-4-3,Afyonkarahisari (Karahisar-i Sahip),16-4,Bursa (Hüdavendigar),16,11542.0,12022.0,3.0,6.0,23.0,35.0,,1.0,,,,,,,,,,,,,,,23564.0,68,68,58,0.0028857579358343237,0.0024613817687998644,0.0024542992552471225,0.002877454299255247,11568.0,12064.0,23632.0,1881 Census,0
Sandikli Kaza,16-4-4,Afyonkarahisari (Karahisar-i Sahip),16-4,Bursa (Hüdavendigar),16,36592.0,36713.0,25.0,69.0,36.0,42.0,,,,,,,,,,,,,,,,,73305.0,172,172,78,0.002346361094059068,0.001064047472887252,0.001061556677599793,0.0023408685711174926,36653.0,36824.0,73477.0,1881 Census,0
Bursa Kaza,16-1-1,Bursa,16-1,Bursa (Hüdavendigar),16,44641.0,45022.0,10702.0,10584.0,3232.0,2594.0,,22.0,357.0,293.0,1281.0,1303.0,145.0,151.0,5.0,7.0,,,,,533.0,718.0,89663.0,28092,30676,5826,0.31330649208703704,0.0649766347322753,0.04791512459906242,0.2310387367382186,60896.0,60694.0,121590.0,1881 Census,1
Gemlik Kaza,16-1-2,Bursa,16-1,Bursa (Hüdavendigar),16,7403.0,7937.0,3120.0,3455.0,7810.0,8813.0,,,,,,,37.0,34.0,,,,,,,97.0,116.0,15340.0,23269,23269,16623,1.516883963494133,1.0836375488917862,0.42818504971407967,0.5993766421101437,18467.0,20355.0,38822.0,1881 Census,0
Kirmasti (M. Kemalpaşa),16-1-3,Bursa,16-1,Bursa (Hüdavendigar),16,19128.0,21000.0,514.0,540.0,404.0,409.0,,,,,,,,,,,,,,,,,40128.0,1867,1867,813,0.046526116427432214,0.020260167464114832,0.019359447553280153,0.0444576735325634,20046.0,21949.0,41995.0,1881 Census,0
"Mihaliç ,, (Karacabey)",16-1-4,Bursa,16-1,Bursa (Hüdavendigar),16,9421.0,10681.0,3436.0,3830.0,377.0,377.0,,,,,38.0,49.0,25.0,23.0,,,,,,,2.0,4.0,20102.0,8068,8155,754,0.40135309919411005,0.03750870560143269,0.026677988890068286,0.28546155751335667,13299.0,14964.0,28263.0,1881 Census,0
Mudanya Kaza,16-1-5,Bursa,16-1,Bursa (Hüdavendigar),16,2348.0,2543.0,5631.0,6161.0,,,,,,,,,,,,,,,,,,,4891.0,11792,11792,0,2.410958904109589,0.0,0.0,0.7068273092369478,7979.0,8704.0,16683.0,1881 Census,0
Orhaneli (Adranos) Kaza,16-1-6,Bursa,16-1,Bursa (Hüdavendigar),16,19290.0,19139.0,,,,,,,,,,,,,,,,,,,,,38429.0,0,0,0,0.0,0.0,0.0,0.0,19290.0,19139.0,38429.0,1881 Census,0
Bilecik Kaza,16-2-1,Ertuğrul,16-2,Bursa (Hüdavendigar),16,24211.0,22932.0,3942.0,3602.0,3213.0,3124.0,,,378.0,372.0,,,78.0,77.0,,,,,,,,,47143.0,14786,14786,6337,0.3136414738137157,0.13442080478544005,0.10232685817629866,0.23875728657010448,31822.0,30107.0,61929.0,1881 Census,1
İnegöl Kaza,16-2-2,Ertuğrul,16-2,Bursa (Hüdavendigar),16,19451.0,18892.0,,,2688.0,2816.0,,,47.0,47.0,,,89.0,85.0,,,,,,,,,38343.0,5772,5772,5504,0.15053595180345825,0.14354641003573013,0.12476481922248668,0.13083985039102347,22275.0,21840.0,44115.0,1881 Census,0
Söğüt Kaza,16-2-3,Ertuğrul,16-2,Bursa (Hüdavendigar),16,19167.0,19308.0,767.0,775.0,1779.0,2183.0,,,15.0,26.0,,,,,,,,,,,,,38475.0,5545,5545,3962,0.14411955815464586,0.10297595841455491,0.09000454338936847,0.12596547024079963,21728.0,22292.0,44020.0,1881 Census,0
Yenişehir Kaza,16-2-4,Ertuğrul,16-2,Bursa (Hüdavendigar),16,13950.0,14304.0,878.0,862.0,760.0,833.0,,,,,,,4.0,5.0,,,,,,,,4.0,28254.0,3342,3342,1593,0.1182841367593969,0.05638139732427267,0.05041139240506329,0.10575949367088608,15592.0,16008.0,31600.0,1881 Census,0
Ayvalik Kaza,16-5-1,Karesi,16-5,Bursa (Hüdavendigar),16,40.0,50.0,9798.0,10335.0,,,,,,,,,,,,,,,,,703.0,751.0,90.0,20133,20133,0,223.7,0.0,0.0,0.92877243160954,10541.0,11136.0,21677.0,1881 Census,0
Balikesir Kaza,16-5-2,Karesi,16-5,Bursa (Hüdavendigar),16,53972.0,56353.0,958.0,1002.0,956.0,844.0,265.0,988.0,,,,,,,,,,,,,14.0,22.0,110325.0,5013,5013,1800,0.04543847722637662,0.016315431679129844,0.015601435332050549,0.04344999739976078,56165.0,59209.0,115374.0,1881 Census,1
Bandirma Kaza,16-5-3,Karesi,16-5,Bursa (Hüdavendigar),16,14519.0,15473.0,2762.0,2725.0,2282.0,2175.0,,,443.0,406.0,,,,,,,,,,,59.0,68.0,29992.0,10793,10793,4457,0.3598626300346759,0.1486062950120032,0.10894114196323818,0.26381012905748924,20065.0,20847.0,40912.0,1881 Census,0
Bigadiç Kaza,16-5-4,Karesi,16-5,Bursa (Hüdavendigar),16,11778.0,11378.0,52.0,99.0,,,,,,,,,,,,,,,,,,,23156.0,151,151,0,0.006520988080842978,0.0,0.0,0.0064787402926159525,11830.0,11477.0,23307.0,1881 Census,0
Burhaniye (Kemer) Kaza,16-5-5,Karesi,16-5,Bursa (Hüdavendigar),16,8183.0,8962.0,1035.0,1398.0,1.0,8.0,,,,,,,,,,,,,,,4.0,4.0,17145.0,2442,2442,9,0.14243219597550305,0.0005249343832020997,0.0004593008420515438,0.1246236284766522,9223.0,10372.0,19595.0,1881 Census,0
Edremit Kaza,16-5-6,Karesi,16-5,Bursa (Hüdavendigar),16,12851.0,14148.0,2591.0,2937.0,4.0,6.0,,,,,1.0,4.0,,,,,,,,,95.0,99.0,26999.0,5538,5543,10,0.2051187081003,0.00037038408829956663,0.00030547409579667644,0.1691715542521994,15542.0,17194.0,32736.0,1881 Census,0
Erdek Kaza,16-5-7,Karesi,16-5,Bursa (Hüdavendigar),16,1485.0,11585.0,14462.0,14703.0,8.0,10.0,,,,,154.0,146.0,,,,,,,,,194.0,260.0,13070.0,29183,29483,18,2.232823259372609,0.0013771996939556236,0.0005453388675129518,0.8841457872572485,16303.0,16704.0,33007.0,1881 Census,0
Gönen Kaza,16-5-8,Karesi,16-5,Bursa (Hüdavendigar),16,11997.0,11926.0,855.0,837.0,5.0,8.0,,5.0,,,3.0,6.0,,,,,,,,,,,23923.0,1710,1719,13,0.07147932951552899,0.0005434101074279982,0.0005069807347320802,0.0666874658762967,12860.0,12782.0,25642.0,1881 Census,0
Sindirği Kaza,16-5-9,Karesi,16-5,Bursa (Hüdavendigar),16,11650.0,11604.0,400.0,437.0,,,,,,,,,,,,,,,,,,,23254.0,837,837,0,0.035993807516986324,0.0,0.0,0.034743265119754264,12050.0,12041.0,24091.0,1881 Census,0
Eskişehir Kaza,16-3-1,Kütahya,16-3,Bursa (Hüdavendigar),16,27470.0,28608.0,308.0,512.0,568.0,604.0,,3.0,81.0,108.0,12.0,40.0,,,,,,,,,5.0,76.0,56078.0,2184,2236,1172,0.038945754128178606,0.020899461464388886,0.02007021149070982,0.037400462368353454,28444.0,29951.0,58395.0,1881 Census,0
Gediz Kaza,16-3-2,Kütahya,16-3,Bursa (Hüdavendigar),16,16932.0,15966.0,,,,,,,,,,,,,,,,,,,,,32898.0,0,0,0,0.0,0.0,0.0,0.0,16932.0,15966.0,32898.0,1881 Census,0
Kütahya Central Kaza,16-3-3,Kütahya,16-3,Bursa (Hüdavendigar),16,58853.0,56532.0,2245.0,2157.0,1443.0,1365.0,,,432.0,341.0,,,,,,,,,,,,,115385.0,7983,7983,2808,0.06918576938076873,0.0243359188802704,0.02276116983334414,0.06470883859671876,62973.0,60395.0,123368.0,1881 Census,1
Simav Kaza,16-3-4,Kütahya,16-3,Bursa (Hüdavendigar),16,16606.0,15930.0,15.0,60.0,2.0,7.0,,,2.0,2.0,,,,,,,,,,,,,32536.0,88,88,9,0.0027046963363658717,0.00027661667076469144,0.00027587052476704265,0.002697400686611084,16225.0,15999.0,32624.0,1881 Census,0
