NameofKaza,sanjak,kazcode,NameofSanjak,sancode,NameofVilayet,vilcode,MaleIptidaiSchoolsDistributio,FemaleIbtidaiSchools1902190,MaleRusdiyyeSchools1876,MaleRusdiyyeSchools19021908,FemaleRusdiyyeSchools190219
Çölemerik,Hakkâri Sanjak-1,65-2-3,Hakkâri Sanjak,65-2,Van Vilayet,65.0,1.0,0.6,,0.8,0.0
Gevar Kaza,Hakkâri Sanjak-1,65-2-4,Hakkâri Sanjak,65-2,Van Vilayet,65.0,1.0,0.6,,0.8,0.0
Hamidiye (Van) Kaza,Hakkâri Sanjak-1,65-2-5,Hakkâri Sanjak,65-2,Van Vilayet,65.0,1.0,0.6,,0.8,0.0
Semdinyan,Hakkâri Sanjak-1,65-2-6,Hakkâri Sanjak,65-2,Van Vilayet,65.0,1.0,0.6,,0.8,0.0
Adilcevaz Kaza,Van Sanjak-1,65-1-1,Van Sanjak,65-1,Van Vilayet,65.0,4.33,2.83,0.3,0.33,0.16
Çatak (Şitak) Kaza,Van Sanjak-1,65-1-2,Van Sanjak,65-1,Van Vilayet,65.0,4.33,2.83,0.3,0.33,0.16
Erciş Kaza,Van Sanjak-1,65-1-3,Van Sanjak,65-1,Van Vilayet,65.0,4.33,2.83,0.3,0.33,0.16
Gevaş Kaza,Van Sanjak-1,65-1-4,Van Sanjak,65-1,Van Vilayet,65.0,4.33,2.83,0.3,0.33,0.16
Kariçkan Kaza,Van Sanjak-1,65-1-5,Van Sanjak,65-1,Van Vilayet,65.0,4.33,2.83,0.3,0.33,0.16
Mekri Kaza,Van Sanjak-1,65-1-6,Van Sanjak,65-1,Van Vilayet,65.0,4.33,2.83,0.3,0.33,0.16
Muradiye (Bargiri) Kaza,Van Sanjak-1,65-1-7,Van Sanjak,65-1,Van Vilayet,65.0,4.33,2.83,0.3,0.33,0.16
Van Central Kaza,Van Sanjak-1,65-1-8,Van Sanjak,65-1,Van Vilayet,65.0,4.33,2.83,0.3,0.33,0.16
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
