NameofKaza,kazcode,NameofSanjak,sancode,NameofVilayet,vilcode,Muslims_Female,Muslims_Male,Greeks_Female,Greeks_Male,Armenians_Female,Armenians_Male,Bulgarians_Female,Bulgarians_Male,Catholics_Female,Catholics_Male,Jews_Female,Jews_Male,Protestants_Female,Protestants_Male,Latins_Female,Latins_Male,Monophysites_Female,Monophysites_Male,NonMuslimGypsies_Female,NonMuslimGypsies_Male,ForeignCitizens_Female,ForeignCitizens_Male,Total_Muslim,Total_Christian,Total_NonMuslim,Total_Armenian,Christian_Muslim_Ratio,Armenian_Muslim_Ratio,ArmenianShare,ChristianShare,Total_Female,Total_Male,GrandTotal,Source,CentralKazaDummy,AP,FID,Id,Vilayet,Sanjak,kaza,_merge
Mut Kaza,1-3-4,İçel Sanjak,1-3,Adana Vilayet,1.0,5979.0,5993.0,7.0,24.0,,,,,,,,,,,,,,,,,,,11972.0,31.0,31.0,0.0,0.002589375209,0.0,0.0,0.001286787597,12330.0,11761.0,24091.0,1881 Census,,"replace kazcode=""1-3-4"" if kaza==""Mut Kaza""",104.0,0,Adana,Icel,Mut Kaza,3
Silifke Kaza,1-3-5,İçel Sanjak,1-3,Adana Vilayet,1.0,12058.0,11770.0,378.0,523.0,45.0,68.0,,,5.0,13.0,,,,,,,,,,,,,23828.0,1032.0,1032.0,113.0,0.04331039114,0.00474231996,0.009414313088,0.08597850537,5986.0,6017.0,12003.0,1881 Census,,"replace kazcode=""1-3-5"" if kaza==""Silifke Kaza""",102.0,0,Adana,Icel,Silifke Kaza,3
(Osmaniye) Barpuz Kaza,1-4-1,Cebelibereket Sanjak,1-4,Adana Vilayet,1.0,1432.0,1588.0,,,147.0,210.0,,,,,,,,,,,,,,,,,3020.0,357.0,357.0,357.0,0.1182119205,0.1182119205,0.1057151318,0.1057151318,1579.0,1798.0,3377.0,1881 Census,,"replace kazcode=""1-4-1"" if kaza==""(Osmaniye) Barpuz Kaza""",92.0,0,Adana,Cebelibereket,Barpuz Kaza,3
Bulanik (Bahçe) Kaza,1-4-2,Cebelibereket Sanjak,1-4,Adana Vilayet,1.0,4251.0,4496.0,,,911.0,1122.0,,,,,,,140.0,144.0,,,,,,,,,8747.0,2317.0,2317.0,2033.0,0.2648908197,0.2324225449,0.1837490962,0.209417932,5302.0,5762.0,11064.0,1881 Census,,"replace kazcode=""1-4-2"" if kaza==""Bulanik (Bahçe) Kaza""",89.0,0,Adana,Cebelibereket,Bahce Kaza,3
Hassa Kaza,1-4-3,Cebelibereket Sanjak,1-4,Adana Vilayet,1.0,2923.0,4157.0,14.0,11.0,136.0,154.0,,,69.0,81.0,,,58.0,72.0,,,,,,,,,7080.0,595.0,595.0,290.0,0.08403954802,0.04096045198,0.03778501629,0.07752442997,3200.0,4975.0,7675.0,1881 Census,,"replace kazcode=""1-4-3"" if kaza==""Hassa Kaza""",91.0,0,Adana,Cebelibereket,Hassa Kaza,3
İslahiye Kaza,1-4-4,Cebelibereket Sanjak,1-4,Adana Vilayet,1.0,3819.0,4536.0,,,118.0,175.0,,,,,,,,,,,,,,,,,8355.0,293.0,293.0,293.0,0.03506882107,0.03506882107,0.03388066605,0.03388066605,3937.0,4711.0,8648.0,1881 Census,,"replace kazcode=""1-4-4"" if kaza==""İslahiye Kaza""",90.0,0,Adana,Cebelibereket,Islahiye Kaza,3
Osmaniye Kaza,1-4-5,Cebelibereket Sanjak,1-4,Adana Vilayet,1.0,3634.0,4129.0,,,39.0,61.0,,,,,,,,,,,,,,,,,7763.0,100.0,100.0,100.0,0.01288161793,0.01288161793,0.01271779219,0.01271779219,3673.0,4190.0,7863.0,1881 Census,,"replace kazcode=""1-4-5"" if kaza==""Osmaniye Kaza""",88.0,0,Adana,Cebelibereket,Osmaniye Kaza,3
Payas Kaza,1-4-6,Cebelibereket Sanjak,1-4,Adana Vilayet,1.0,6266.0,6941.0,55.0,70.0,1655.0,1843.0,,,,,,,,,,,,,,,,,13207.0,3623.0,3623.0,3498.0,0.274324222,0.2648595442,0.2078431373,0.2152703506,7976.0,8854.0,16830.0,1881 Census,,"replace kazcode=""1-4-6"" if kaza==""Payas Kaza""",93.0,0,Adana,Cebelibereket,Payas Kaza,3
Ahlat Kaza,13-1-1,Bitlis Sanjak,13-1,Bitlis Vilayet,13.0,3409.0,3739.0,,,2974.0,3466.0,,,,,,,66.0,68.0,,,,,,,,,7148.0,6574.0,6574.0,6440.0,0.9196978176,0.9009513151,0.4693193412,0.4790846815,,,13722.0,1892 Salnamesi,0.0,"replace kazcode=""13-1-1"" if kaza==""Ahlat Kaza""",190.0,0,Bitlis,Bitlis,Ahlat Kaza,3
Bitlis Kaza,13-1-2,Bitlis Sanjak,13-1,Bitlis Vilayet,13.0,11922.0,15751.0,,,6437.0,8880.0,,,60.0,70.0,,,291.0,356.0,,,,,,,,,27673.0,16094.0,16094.0,15317.0,0.5815777111,0.5534998013,0.34996687,0.3677199717,,,43767.0,1892 Salnamesi,1.0,"replace kazcode=""13-1-2"" if kaza==""Bitlis Kaza""",189.0,0,Bitlis,Bitlis,BitlisMerkez Kaza,3
